id;heure_debut_creneaux_disponibilite;heure_fin_creneaux_disponibilite;canal_seance
1;2025-02-25T15:52:21;2025-02-26T13:42:54;AdressePhysique
2;2025-02-26T00:48:29;2025-02-25T20:23:56;AppelVisio
3;2025-02-26T03:06:49;2025-02-25T20:34:05;AppelVisio
4;2025-02-25T18:23:57;2025-02-26T14:01:15;AdressePhysique
5;2025-02-26T15:13:26;2025-02-26T13:43:02;AppelVisio
6;2025-02-26T07:55:39;2025-02-25T18:39:26;AppelVisio
7;2025-02-26T02:42:48;2025-02-26T02:25:28;AdressePhysique
8;2025-02-25T17:49:23;2025-02-26T11:18:57;AppelVisio
9;2025-02-26T03:17:40;2025-02-26T03:41:12;AdressePhysique
10;2025-02-25T17:14:57;2025-02-25T21:02:29;AppelVisio
