id;type_facture;date_comptable_facture;montant;tva
1;Avoir;2025-02-26T04:09:23;29711.8;20684.77
2;Avoir;2025-02-26T00:11:46;7528.82;26528.15
3;Avoir;2025-02-26T02:18:37;21971.62;7930.93
4;Avoir;2025-02-26T07:52:00;24102.47;22277
5;FactureStandard;2025-02-26T05:06:46;20220.87;1557
6;FactureStandard;2025-02-26T12:59:18;29725.26;27484.46
7;Avoir;2025-02-25T20:11:01;13670;14542.31
8;FactureStandard;2025-02-26T11:47:29;11612.18;10796.35
9;Avoir;2025-02-25T16:18:17;11883.23;6763.27
10;FactureStandard;2025-02-25T19:37:33;12881.58;27083.91
