id;canal_seance;type_seance;synthese;description_detaillee;tarif;duree;description_diplome
1;AdressePhysique;Individuelle;aussitôt neutre;vide baigner;21934;26393;ronron
2;AdressePhysique;Individuelle;bof;tandis que magenta;21752;10973;infime
3;AdressePhysique;Collective;murmurer corps enseignant neutre;à même;24697;14652;aïe miam tant
4;AdressePhysique;Individuelle;dans large;bzzz limiter;16363;2984;bang cuicui toutefois
5;AppelVisio;Collective;conseil d’administration;sage collaborer;19716;25699;à la merci de peur que emmerder
6;AppelVisio;Individuelle;à condition que ensuite;hi que;10644;30801;membre de l’équipe
7;AppelVisio;Individuelle;tout à fait;puisque du moment que blême;24637;6442;simple
8;AppelVisio;Collective;raide;hypocrite admirablement;16385;22471;multiple snif
9;AdressePhysique;Individuelle;vouh;dans la mesure où;23707;7176;conseil d’administration dès ah
10;AdressePhysique;Collective;jadis;près de camarade;21566;2427;gigantesque frayer
