id;horodatage;moyen_paiement;statut_paiement;id_stripe
1;2025-02-26T01:08:20;compromettre adversaire via;PaiementRefuse;vu que
2;2025-02-26T14:59:33;placide même;PaiementAccepte;bien que population du Québec
3;2025-02-26T00:13:27;puisque avancer tant;PaiementRefuse;avant que
4;2025-02-26T06:52:30;ouch redresser;PaiementAccepte;candide
5;2025-02-26T13:57:20;au moyen de en guise de enrichir;PaiementRefuse;claquer tendre
6;2025-02-25T21:47:55;jeune enfant parce que encore;PaiementAccepte;rectorat aimable
7;2025-02-25T19:48:09;présidence;PaiementRefuse;rapide derrière
8;2025-02-26T08:16:28;en dehors de athlète;PaiementAccepte;rencontrer gai aussitôt que
9;2025-02-25T20:44:20;autour de étouffer;PaiementRefuse;hé
10;2025-02-26T01:12:41;à condition que hôte;PaiementRefuse;bof paf moyennant
