id;specialite;specialite_description;tarif_moyen_heure;duree_tarif;diplome_requis;url_photo
1;chut;charitable;27699;consommer;true;miaou alors que
2;en faveur de équipe toc;pendant que bzzz glouglou;14774;bzzz;true;de crainte que vlan un peu
3;splendide encore à peine;quitte à;13037;bâtir;false;assez
4;coin-coin regretter tant;rédaction;4356;extra;false;après aujourd'hui tremper
5;gigantesque comme;tant que triangulaire;18870;combien depuis;false;équipe de recherche pschitt précisément
6;sortir fleurir adversaire;au moyen de hors de mince;1746;trop;false;de crainte que
7;vorace;paf groin groin;10637;mince d’autant que trop;false;gravir actionnaire large
8;à l'égard de;chez boire;5919;en dépit de blablabla corner;false;afin de
9;du moment que élargir;main-d’œuvre aujourd'hui;20241;areu areu encore vétuste;false;à condition que aux environs de réfléchir
10;délégation;exécuter considérable parler;161;secouriste;false;tandis que dynamique à partir de
